person_id,title,firm,location
72,Oracle Junior DBA,Enterprise Holdings Inc,"Clayton, MO"
73,Application Database Administrator,INFOSYS LTD,"Round Rock, TX"
73,Oracle Database Administrator,Huntington National Bank,"Columbus, OH"
73,Oracle Database Administrator,Deutsche Bank,"Jersey City, NJ"
74,Scrum Master,U.S Bank,"Milwaukee, WI"
74,Scrum Master,NuStar Energy,"San Antonio, TX"
74,Database Administrator,General Dynamics Information Technology,"Warrenton, VA"
75,Programmer & Database Administrator,Bucheon University,Bucheon
75,Programmer & Database Administrator,AJU IT,"Seoul, KR"
75,Server-Side Programmer,Point I,"Seoul, KR"
76,Manager Donor and Data Management,YMCA of the Greater Twin Cities,"Zimmerman, MN"
76,Database and Campaign Administrator,Westminster Presbyterian Church,
76,Database Manager,Benilde St. Margaret's Catholic School,"Saint Louis Park, MN"
76,Database and Systems Senior Manager,Alzheimer's Association,"Edina, MN"
76,Development Operations Manager,Scholarship America,"Bloomington, MN"
76,Development Database Manager,Scholarship America,"Bloomington, MN"
77,Scrum Master,Salazar Inc,"Oklahoma City, OK"
77,Scrum Master,Geico Insurance,"Dallas, TX"
77,Oracle Database Administrator,Berean Technologies,"Detroit, MI"
77,Data Base Administrator,CCA Bank,CM
78,SQL Server Database DBA/Admin,OPTUM Care,"Columbia, MD"
78,SQL Database Admin/Analyst,M&T Bank,"Buffalo, NY"
78,SQL Database Administrator,NBTY Inc,"Bohemia, NY"
79,Sr.MongoDB Architect (Developer/Administrator/DBA),American Express,"Houston, TX"
79,Senior MongoDB Administrator,Conifer,"Dallas, TX"
79,Database Administrator (DBA),CVS Health,"Irving, TX"
79,Database Administrator (DBA),"J.Crew Group, Inc","Dallas, TX"
80,Database Administrator,CCA Global Partners,"St. Louis, MO"
80,Database Administrator / SQL Developer,Genesys,"Jacksonville, FL"
81,Financial Analyst,Goodwin College,"East Hartford, CT"
81,Accounting Assistant,4AllPromos/4AllGifts,"Essex, CT"
81,Database Administrator,Saybrook Country Barn,
81,Substitute Teacher,East Lyme Public Schools,
82,Database Administrator,The Whole Person,"Kansas City, MO"
82,Director of Support Systems,The Whole Person,"Kansas City, MO"
82,Payroll Manager,The Whole Person,"Kansas City, MO"
82,Payroll Specialist,The Whole Person,"Kansas City, MO"
82,Release Specialist,James B Nutter & Company,"Kansas City, MO"
82,Office Manager / Designer,Extreme Signs,"Independence, Missouri"
83,POS Database Administrator,"Xenial, Inc","Lansdale, PA"
83,Interactive Voice Response Tester (Temporary),ASCENSUS,"Dresher, PA"
84,Database Administrator,IBM consulting,"Boston, MA"
84,Database Administrator,Pacific Northwest National Laboratory,"Richland, WA"
84,SQL Server Database Administrator/developer,International Arctic Research Center,"Fairbanks, AK"
84,Senior Data Analyst,Climate and Health Institute,"Arba Minch, ET"
85,Scrum Master/Report Analyst,Republic properties,"Fairfax, VA"
85,Agile Business Analyst,Life Science Logistics,
85,Oracle Database Administrator,AT&T,
86,BUSINESS MANAGER/PURCHASING COORDINATOR,"Danbury, CT","Danbury, CT"
86,SQL DATABASE ADMINISTRATOR,KENNY'S CARPET ONE,"Carmel, NY"
86,FREELANCE EXPERIENCE,"ELITE REMODELING-DANBURY, CT, THE PHOENIX AGENCY-FISHKILL, NY, MIKE'S MASONRY- SHRUB OAK, NY",
87,Data Warehouse Eng,"NT Concepts, VA","NT Concepts, VA"
87,Managed service dba consultant,"Mythics, Inc.","Falls Church, VA"
87,Database Operator/Technician (DOS),"Mythics, Inc.","Falls Church, VA"
87,Oracle Database Administrator(Tier I),"AINET Consulting Group, Inc",
88,Senior Oracle Database Administrator,Thomson Reuters Corporation,"Arizona City, AZ"
88,Senior Oracle Database Administrator,SEI investments,"Oaks, PA"
88,Senior Oracle Database Administrator,Sony Corporation of America,"San Diego, CA"
88,Senior Oracle Administrator,Bayer Business Services,"Pittsburgh, PA"
88,Oracle Application Database Administrator,Directv,"Los Angeles, CA"
89,Help Desk Manager,Navajo Nation Gaming Enterprise,"Flagstaff, AZ"
89,Database Administrator/ERP Systems Manager,Navajo Nation Gaming Enterprise,"Flagstaff, AZ"
90,Database Administrator,SRA International,"Washington, DC"
90,Oracle DBA,APEX Inc.,Fall Church
90,STIP Operations Engineer,"Blue Water Federal Solutions, Inc","Arlington, VA"
90,SENTINEL Help Desk,"Blue Water Federal Solutions, Inc","Arlington, VA"
91,Software Developer,RELIABLE GOVERNMENT SOLUTIONS INC,"Beltsville, MD"
91,Database Administrator,INDEPENDENT SOFTWARE INC,"Columbia, MD"
91,Database Administrator,TANAGER INC,"Annapolis Junction, MD"
91,Database Administrator,"SET FOCUS, LLC","Parsippany, NJ"
92,Sr. Database Administrator/Data Analyst,TIAA-CREF,"New York, NY"
92,Sr. Database Analyst/Project Manager,Canada Revenue Agency,"Ottawa, ON"
93,Lead Oracle DBA,City Credit Union,"Dallas, TX"
93,Oracle DBA,ATOS Digital Health Solutions,"Irving, TX"
93,Jr Oracle Database Administrator,In-Telecom,"Slidell, LA"
94,Database Administrator,Ultrafryer,"Schertz, TX"
94,Content Operations Project Manager,AT&T,"San Antonio, TX"
94,IT Manager,Aria Medical Equipment,"San Antonio, TX"
95,SQL/ETL Developer,Express Capital Funding,"Anaheim, CA"
95,SSIS/Report Developer,Springleaf Financial,"Anaheim, CA"
95,Database Developer,Guardian International,"Alhambra, CA"
95,Network Administrator,Guardian International,
96,Oracle Database Administrator,SUBARU AUTOMOTIVE,"Lafayette, IN"
96,Oracle Database Administrator,MATERIAL IN MOTION (MIM),"Fairbun, GA"
96,Junior Oracle DBA,BOSTON SCIENTIFIC,"Minneapolis, MN"
96,IT support Administrator,Target corp,"Minneapolis, MN"
97,Network and Database Administrator,Lipsey Logistics Worldwide,"Chattanooga, TN"
97,Interim IT Manager,Lipsey Logistics Worldwide,"Chattanooga, TN"
97,Network Technician,Comcast Cable,2030 East Polymer Drive
98,RESEARCH DATABASE ADMINISTRATOR,THE ALEXANDER GROUP,"Houston, TX"
98,IT MANAGER,VOLUNTEERS OF AMERICA OF GREATER BATON ROUGE,"Baton Rouge, LA"
98,PASTOR,ANTIOCHIAN ARCHDIOCESE OF NORTH AMERICA,North America
98,HELP DESK ANALYST,ANTIOCHIAN ARCHDIOCESE OF NORTH AMERICA,
99,Scrum Master,AKS Cyber Tech Inc,"Lorton, VA"
99,Security Control Assessor,Integrated Systems,
99,ORACLE DATABASE ADMINISTRATOR,Pacific Systems,"McDonough, GA"
100,Help Desk Technician,PowerTrain Inc.,
100,Database Administrator Intern,KCW Engineering Technologies,"Glen Burnie, MD"
100,Assistant Deli Manager,Safeway Inc,"Gambrills, MD"
101,F-35 Suitability Analyst,Joint Operational Test Team / Royal Netherlands Air Force,"Edwards AFB, CA"
101,F-35 Database Administrator,Royal Netherlands Air Force,"Edwards AFB, CA"
101,Project Lead,Royal Netherlands Air Force,Woensdrecht
101,Software Engineer,Frankort Engineering B.V.,Heerlen
102,Database Administrator (SQL),Baltimore Police Department,"Baltimore, MD"
102,Jr. Database Administrator,Flemingo International,"Nairobi, KE"
103,DBA,Omnitracs,"Worcester, MA"
103,DBA,Wells Fargo,"San Francisco, CA"
103,Oracle Database Administrator,Apple Federal Credit Union,"Alexandria, VA"
103,Oracle DBA,Capital One,"Chicago, IL"
104,Customer Quality Specialist,Apria Healthcare,"Chandler, AZ"
104,Customer Care Supervisor,"Xerox Business Services, LLC","Tempe, AZ"
104,Executive Assistant/ Database Administrator,ATG Learning Academy,"Warminster, PA"
105,Oracle Database Administrator/Snr System Analyst,Ellucian,"Houston, TX"
105,Oracle Database Administrator II,San Jacinto Community College,
105,Oracle Database Administrator I,Mastec Advanced Technologies,
106,Database Manager,PNP Staffing Group,"Manhattan, NY"
106,Database Manager,National Urban League,
106,Membership Associate,Pérez Art Museum Miami,"Miami, FL"
106,Database Administrator,Best Buddies International,"Miami, FL"
107,Warehouse Specialist,Baxter Healthcare,"Marion, NC"
107,Database Administrator (DBA),Faberlic,"Moscow, Russia"
107,"Senior specialist, Department Database Management System",Probusinessbank,"Moscow, Russia"
107,"Senior Engineer, Department of Technician Support",Electronic Moscow,"Moscow, Russia"
107,Database Administrator MSSQL Server,Alfa-Bank,"Moscow, Russia"
108,Operations Manager,Corporate Parking Group,"Minneapolis, MN"
108,Assistant Manager,Corporate Parking Group,
108,Captain,Corporate Parking Group,
108,Valet,Corporate Parking Group,
108,Created and produced new series titled 'In Studio Sessions',Hamline University,"Saint Paul, MN"
108,Retail - Summer Job,Dick's Sporting Goods,"Saint Paul, MN"
